canonical_name,entity_name,similarity_score,count,group_id
"Hunters Hill, NSW",Hunters Hill,82.75862068965517,1,2998
Humpty Dumpty Foundations,Humpty Dumpty Foundations,100.0,1,3000
Humpty Dumpty Foundations,Humpty Dumpty Foundation,97.95918367346938,1,3000
Huawei and Asialink.,Huawei and Asialink.,100.0,1,3002
Huawei and Asialink.,Huawei and Asialink,97.43589743589743,1,3002
Huawei and Asialink.,Asialink and Huawei,97.43589743589743,1,3003
Huawei and Asialink.,Huawei & Asialink,81.08108108108108,1,3004
Huawei Pty Ltd,Huawei Pty Ltd,100.0,1,3006
Huawei Pty Ltd,Huawei Ltd,83.33333333333334,1,3006
House- Mangerton,House- Mangerton,100.0,1,3008
House- Mangerton,House - Mangerton,90.9090909090909,1,3008
Hornsby and District Chamber of Commerce and Industry,Hornsby and District Chamber of Commerce and Industry,100.0,1,3010
Hornsby and District Chamber of Commerce and Industry,Hornsby and District Chamber of Commerce & Industry,94.23076923076923,1,3010
Hornsby Rotary Club,Hornsby Rotary Club,100.0,1,3012
Hornsby Rotary Club,Hawthorn Rotary Club,82.05128205128204,1,3012
Honorary Consul-General of Azerbaijan,Honorary Consul-General of Azerbaijan,100.0,1,3014
Honorary Consul-General of Azerbaijan,Consul-General of Azerbaijan,86.15384615384616,1,3014
Hong Kong Economic and Trade Office,Hong Kong Economic and Trade Office,100.0,1,3016
Hong Kong Economic and Trade Office,Hong Kong Economic & Trade Office,91.17647058823529,1,3016
Homeside (Nab),Homeside (Nab),100.0,1,3018
Homeside (Nab),Homeside (NAB),85.71428571428572,1,3018
Hinduja Group Books,Hinduja Group Books,100.0,1,3020
Hinduja Group Books,Hinduja Group,81.25,1,3020
Hilmerore PIL,Hilmerore PIL,100.0,1,3022
Hilmerore PIL,Hilmero PIL,91.66666666666666,1,3022
High Commissioner of the Republic of Singapore,High Commissioner of the Republic of Singapore,100.0,1,3024
High Commissioner of the Republic of Singapore,High Commission of the Republic of Singapore,97.77777777777777,1,3024
High Commissioner of the Republic of Singapore,"HE Burhan Gafoor, High Commissioner of the Republic of Singapore",83.63636363636364,1,3025
Hayman Island Resort,Hayman Island Resort,100.0,1,3027
Hayman Island Resort,Hamilton Island Resort,85.71428571428572,1,3027
"Hastings Point, NSW","Hastings Point, NSW",100.0,1,3029
"Hastings Point, NSW","Darling Point, NSW",81.08108108108108,1,3029
Hastings Funds Management Limited,Hastings Funds Management Limited,100.0,1,3031
Hastings Funds Management Limited,Hastings Fund Management Ltd,91.80327868852459,1,3031
Harper Collins Publishing,Harper Collins Publishing,100.0,1,3033
Harper Collins Publishing,Harper Collins Christian Publishing,83.33333333333334,1,3033
"Hampton, Victoria","Hampton, Victoria",100.0,1,3035
"Hampton, Victoria","Hamilton, Victoria",91.42857142857143,1,3035
HH The Crown Prince of Abu Dhabi,HH The Crown Prince of Abu Dhabi,100.0,1,3037
HH The Crown Prince of Abu Dhabi,Crown Prince of Abu Dhabi,87.71929824561404,1,3037
Gymea Bowling Club,Gymea Bowling Club,100.0,1,3039
Gymea Bowling Club,Bowling Club,80.0,1,3039
Greater Western Sydney Giants Football Club,Greater Western Sydney Giants Football Club,100.0,1,3041
Greater Western Sydney Giants Football Club,Greater Western Sydney Giants,80.55555555555556,1,3041
Goulburn and District Education Foundation,Goulburn and District Education Foundation,100.0,1,3043
Goulburn and District Education Foundation,Goulburn And District Education Foundation,90.47619047619048,1,3043
Goldenboot Pty Ltd,Goldenboot Pty Ltd,100.0,1,3045
Goldenboot Pty Ltd,Goldenboot Pty LTD,88.88888888888889,1,3045
Golden Key International Honour Society (ANU),Golden Key International Honour Society (ANU),100.0,1,3047
Golden Key International Honour Society (ANU),Golden Key International Honour Society (ANU and UC),90.72164948453609,1,3047
Gold ETFS,Gold ETFS,100.0,1,3049
Gold ETFS,Gold ETF,94.11764705882352,1,3049
"Gold Coast, QLD","Gold Coast, QLD",100.0,1,3051
"Gold Coast, QLD",Gold Coast QLD,96.55172413793103,1,3051
Gold Coast Business Excellence Awards,Gold Coast Business Excellence Awards,100.0,1,3053
Gold Coast Business Excellence Awards,GC Business Excellence Awards,84.84848484848484,1,3053
Glomesh International Pty Ltd,Glomesh International Pty Ltd,100.0,1,3055
Glomesh International Pty Ltd,1.Robert International Pty Ltd,81.35593220338984,1,3055
Global Tuberculosis Caucus,Global Tuberculosis Caucus,100.0,1,3057
Global Tuberculosis Caucus,Global Executive Tuberculosis Caucus,83.87096774193549,1,3057
Global Panel Foundation of America and Australia (Advisory Board),Global Panel Foundation of America and Australia (Advisory Board),100.0,1,3059
Global Panel Foundation of America and Australia (Advisory Board),Global Panel Foundation of America and Australasia,83.47826086956522,1,3059
Global Fund and APLMA,Global Fund and APLMA,100.0,1,3061
Global Fund and APLMA,"APLMA, Global Fund",87.17948717948718,1,3061
Global Foundation,Global Foundation,100.0,1,3063
Global Foundation,GO Foundation,80.0,1,3063
Global Alliance for Vaccines and Immunisation,Global Alliance for Vaccines and Immunisation,100.0,1,3065
Global Alliance for Vaccines and Immunisation,Global Alliance For Vaccines and Immunisations,90.10989010989012,1,3065
Gladstone Turf Club Incorp.,Gladstone Turf Club Incorp.,100.0,1,3067
Gladstone Turf Club Incorp.,Gladstone Turf Club Incorp,98.11320754716981,1,3067
Georgina Moody Trust,Georgina Moody Trust,100.0,1,3069
