Name,Party,Electorate,Parliament,Start_Year,End_Year,scraped_date
Julia Banks,Liberal/Independent,Chisholm,45,2016,2019,2025-03-23
Julie Bishop,Liberal Party of Australia,Curtin,45,2016,2019,2025-03-23
Andrew Broad,National Party of Australia,Mallee,45,2016,2019,2025-03-23
Sarah Henderson,Liberal Party of Australia,Corangamite,45,2016,2019,2025-03-23
Emma Husar,Australian Labor Party,Lindsay,45,2016,2019,2025-03-23
Patrick Gorman [e],Australian Labor Party,Perth,45,2016,2019,2025-03-23
Tim Hammond [e],Australian Labor Party,Perth,45,2016,2019,2025-03-23
Ross Hart,Australian Labor Party,Bass,45,2016,2019,2025-03-23
Luke Hartsuyker,National Party of Australia,Cowper,45,2016,2019,2025-03-23
Kate Ellis,Australian Labor Party,Adelaide,45,2016,2019,2025-03-23
David Feeney [c],Australian Labor Party,Batman,45,2016,2019,2025-03-23
Cathy McGowan,Independent,Indi,45,2016,2019,2025-03-23
John McVeigh,Liberal National Party,Groom,45,2016,2019,2025-03-23
Craig Laundy,Liberal Party of Australia,Reid,45,2016,2019,2025-03-23
Chris Crewther,Liberal Party of Australia,Dunkley,45,2016,2019,2025-03-23
Michael Danby,Australian Labor Party,Melbourne Ports,45,2016,2019,2025-03-23
George Christensen,Liberal National Party,Dawson,45,2016,2019,2025-03-23
Tony Abbott,Liberal Party of Australia,Warringah,45,2016,2019,2025-03-23
John Alexander [b],Liberal Party of Australia,Bennelong,45,2016,2019,2025-03-23
Jenny Macklin,Australian Labor Party,Jagajaga,45,2016,2019,2025-03-23
Mike Kelly,Australian Labor Party,Eden-Monaro,45,2016,2019,2025-03-23
Susan Lamb [d],Australian Labor Party,Longman,45,2016,2019,2025-03-23
Barnaby Joyce [a],National Party of Australia,New England,45,2016,2019,2025-03-23
Ged Kearney [c],Australian Labor Party,Batman,45,2016,2019,2025-03-23
Justine Keay [d],Australian Labor Party,Braddon,45,2016,2019,2025-03-23
Michael Keenan,Liberal Party of Australia,Stirling,45,2016,2019,2025-03-23
Craig Kelly,Liberal Party of Australia,Hughes,45,2016,2019,2025-03-23
Rebekha Sharkie [d],Xenophon/Centre Alliance,Mayo,45,2016,2019,2025-03-23
Kelly O'Dwyer,Liberal Party of Australia,Higgins,45,2016,2019,2025-03-23
Trent Zimmerman [c],Liberal Party of Australia,North Sydney,44,2013,2016,2025-03-23
Brett Whiteley,Liberal Party of Australia,Braddon,44,2013,2016,2025-03-23
Matt Williams,Liberal Party of Australia,Hindmarsh,44,2013,2016,2025-03-23
Warren Truss,Liberal National Party,Wide Bay,44,2013,2016,2025-03-23
Malcolm Turnbull,Liberal Party of Australia,Wentworth,44,2013,2016,2025-03-23
Nickolas Varvaris,Liberal Party of Australia,Barton,44,2013,2016,2025-03-23
Sharman Stone,Liberal Party of Australia,Murray,44,2013,2016,2025-03-23
Kelvin Thomson,Australian Labor Party,Wills,44,2013,2016,2025-03-23
John Cobb,National Party of Australia,Calare,44,2013,2016,2025-03-23
